lambda,strategy,ds2_total,ds2_loc,ds2_scale,ds2_theta,ds2_rejection,ds2_conf,ds2_eff,ds2_gen,ds2_set_a_5px,ds2_set_b_5px,ds1_total,ds1_loc,top5_recall_pct,gt_selected_count,med_rt,p90_rt,p99_rt
0.0,EXP04_lambda_0.0,47.33,6.41,1.28,1.56,13.7,9.37,5.0,10.0,0.0,2.9,50.83,10.26,36.2,45,527.6,590.3,641.4
0.05,EXP04_lambda_0.05,47.3,6.41,1.28,1.53,13.7,9.38,5.0,10.0,0.0,2.9,50.83,10.26,36.2,45,527.6,590.3,641.4
0.1,EXP04_lambda_0.1,47.3,6.41,1.28,1.53,13.7,9.37,5.0,10.0,0.0,2.9,50.83,10.26,36.2,45,527.6,590.3,641.4
0.2,EXP04_lambda_0.2,47.3,6.41,1.28,1.53,13.7,9.38,5.0,10.0,0.0,2.9,50.83,10.26,36.2,45,527.6,590.3,641.4
