mode,strategy,ds2_total,ds2_loc,ds2_scale,ds2_theta,ds2_rejection,ds2_conf,ds2_eff,ds2_gen,ds2_set_a_5px,ds2_set_b_5px,ds1_total,ds1_loc,med_rt,p90_rt
A,A_NCC_Only,50.19,8.05,1.91,2.0,13.33,9.9,5.0,10.0,1.4,4.3,58.44,14.18,751.6,845.5
B,B_NCC_PixelReproj,49.08,7.33,1.62,1.59,13.96,9.58,5.0,10.0,0.0,1.4,52.56,13.45,787.9,887.4
C,C_NCC_GradReproj,49.87,7.63,1.75,1.53,14.11,9.85,5.0,10.0,0.0,1.4,52.61,13.45,756.3,849.1
D,D_NCC_MultiResReproj,49.56,7.69,1.84,1.88,13.33,9.82,5.0,10.0,0.0,4.3,57.95,13.93,519.2,593.1
E,E_NCC_Pixel_Grad,32.38,2.63,0.56,0.62,3.77,9.78,5.0,10.0,0.0,0.0,23.31,0.0,504.6,564.7
F,F_NCC_AllReproj,46.81,6.49,1.28,1.09,13.57,9.38,5.0,10.0,0.0,1.4,47.65,9.74,512.1,569.3
